Threshold,TPR,FPR
1.9974232365689852,0.0,0.0
0.9974232365689852,0.0019569471624266144,0.0
0.9933825595279129,0.04500978473581213,0.0
0.9931777665121694,0.04500978473581213,0.0005595970900951316
0.9921612780726822,0.04892367906066536,0.0005595970900951316
0.99214335771043,0.04892367906066536,0.001119194180190263
0.9919257647013284,0.0821917808219178,0.001119194180190263
0.9919253247984956,0.0821917808219178,0.0016787912702853946
0.9918637353151801,0.18395303326810175,0.0016787912702853946
0.9916726297617381,0.18395303326810175,0.0027979854504756574
0.9914426231393675,0.22504892367906065,0.0027979854504756574
0.9911782821004256,0.22504892367906065,0.003357582540570789
0.9902630098534172,0.3268101761252446,0.003357582540570789
0.9899943420252862,0.3268101761252446,0.00391717963066592
0.9879067640155427,0.3287671232876712,0.00391717963066592
0.9878380600378585,0.3287671232876712,0.004476776720761052
0.9871589599347264,0.350293542074364,0.004476776720761052
0.9871114571090441,0.350293542074364,0.005036373810856184
0.9869783067798374,0.3776908023483366,0.005036373810856184
0.9869481376272193,0.3776908023483366,0.005595970900951315
0.9869361893089783,0.3796477495107632,0.005595970900951315
0.9867923674168934,0.3796477495107632,0.006155567991046447
0.9864656586251458,0.39921722113502933,0.006155567991046447
0.9864045864433963,0.39921722113502933,0.006715165081141578
0.9863847192935462,0.41487279843444225,0.006715165081141578
0.9862882611892962,0.41487279843444225,0.00783435926133184
0.9861646072983835,0.4227005870841487,0.00783435926133184
0.9860968240813908,0.42661448140900193,0.00783435926133184
0.9860562864274242,0.42661448140900193,0.008393956351426972
0.9860275436646938,0.42857142857142855,0.008393956351426972
0.9851050165795631,0.42857142857142855,0.008953553441522105
0.985093343524407,0.4500978473581213,0.008953553441522105
0.984652455269716,0.4500978473581213,0.009513150531617236
0.9846173236230537,0.46771037181996084,0.009513150531617236
0.9842156350694733,0.46771037181996084,0.010072747621712367
0.984211335748434,0.4931506849315068,0.010072747621712367
0.984197821060293,0.4931506849315068,0.01119194180190263
0.9841811269187093,0.49902152641878667,0.01119194180190263
0.9841227023744409,0.49902152641878667,0.011751538891997761
0.9840959526822203,0.50293542074364,0.011751538891997761
0.983993806519705,0.50293542074364,0.012311135982092894
0.9839818919115568,0.5185909980430529,0.012311135982092894
0.98376244615956,0.5185909980430529,0.012870733072188025
0.983709513164755,0.5205479452054794,0.012870733072188025
0.9832808476922629,0.5205479452054794,0.013989927252378288
0.9832801966924226,0.5225048923679061,0.013989927252378288
0.9832730096017267,0.5225048923679061,0.014549524342473419
0.9832213079895994,0.5342465753424658,0.014549524342473419
0.9830171506058678,0.5342465753424658,0.01566871852266368
0.9829894529883006,0.5459882583170255,0.01566871852266368
0.982933289819121,0.5459882583170255,0.016228315612758813
0.9828915975535707,0.547945205479452,0.016228315612758813
0.9822781095763163,0.547945205479452,0.016787912702853944
0.9822757105144637,0.5499021526418787,0.016787912702853944
0.9816949895412961,0.5499021526418787,0.01790710688304421
0.9816874063548762,0.5616438356164384,0.01790710688304421
0.9816379095054821,0.5616438356164384,0.01846670397313934
0.9816258415357785,0.5636007827788649,0.01846670397313934
